FoodID,MeasureID,ConversionFactorValue
2,341,0.40152
2,383,0.5019
2,415,1.0038
4,341,0.92984
4,383,1.1623
4,415,2.3246
5,341,0.92989
5,383,1.16236
5,415,2.32472
5,502462,6.04
6,108,0.35
6,341,0.45224
6,383,0.5653
6,415,1.1306
6,1461,0.55
7,1457,1.4
8,1457,1.4
9,1607,1.95
10,1457,1.4
13,341,1.01437
13,383,1.26789
13,385,0.15101
13,439,0.05068
14,341,1.01437
14,383,1.26796
14,385,0.15101
14,439,0.05068
16,341,0.63824
16,385,0.09574
16,439,0.0319
16,966,0.038
16,1573,0.1
17,341,0.86649
17,385,0.12973
17,439,0.04324
17,1573,0.1
18,344,0.57058
18,975,1.42646
18,990,0.5
18,1454,0.3
19,348,0.5579
19,368,0.4776
19,976,1.39476
19,977,1.19399
19,990,0.5
19,1454,0.3
20,358,1.01442
20,371,0.60862
20,978,2.53605
20,979,1.52156
20,990,0.5
20,1454,0.3
21,341,1.0397
21,415,2.59932
21,990,0.5
21,1454,0.3
22,348,0.5579
22,368,0.4776
22,990,0.5
22,1454,0.3
23,348,0.5579
23,368,0.4776
23,990,0.5
23,1454,0.3
24,348,0.5579
24,368,0.4776
24,976,1.39476
24,977,1.19399
24,990,0.5
24,1454,0.3
25,355,0.88757
25,619,0.95097
25,972,1.10947
25,973,1.18872
25,981,2.21893
25,982,2.37743
25,1489,1.25
26,376,0.9552
26,974,1.19399
26,983,2.38799
26,1489,1.25
27,376,0.61285
27,974,0.76606
27,983,1.53212
27,1489,1.25
28,341,0.97973
28,385,0.14696
28,415,2.4515
28,428,0.29392
28,990,0.5
28,1454,0.3
29,348,0.5579
29,990,0.5
29,994,1.39475
29,1454,0.3
30,348,0.5579
30,368,0.45647
30,976,1.39476
30,977,1.14117
30,990,0.5
30,1454,0.3
31,348,0.5579
31,415,1.39475
31,990,0.5
31,1454,0.3
32,348,0.5579
32,368,0.45647
32,976,1.39476
32,977,1.14117
32,990,0.5
32,1454,0.3
33,341,0.56636
33,415,1.41589
33,990,0.5
33,1454,0.3
34,348,0.5579
34,368,0.4776
34,976,1.39476
34,977,1.14117
34,990,0.5
34,1454,0.3
35,368,0.47337
35,977,1.18343
35,990,0.5
35,1454,0.3
37,348,0.5579
37,368,0.4776
37,976,1.39476
37,977,1.14117
37,990,0.5
37,1454,0.3
38,341,1.0144
38,385,0.15216
38,990,0.5
38,1454,0.3
39,353,0.42265
39,385,0.0634
39,415,1.05664
39,990,0.5
39,1467,0.15
40,341,0.4227
40,385,0.05068
40,990,0.5
40,1467,0.15
41,348,0.5579
41,368,0.4776
41,976,1.39476
41,977,1.14117
41,990,0.5
41,1454,0.3
42,245,0.28
42,348,0.5579
42,976,1.39476
42,990,0.5
42,1454,0.3
43,341,1.0482
43,383,1.31029
43,415,2.62059
43,1455,1
44,341,1.03973
44,383,1.31023
44,415,2.59932
44,1455,1
45,353,0.42265
45,385,0.0634
45,415,1.05663
45,990,0.5
45,1467,0.15
46,344,0.57058
46,415,1.42645
46,990,0.5
46,1454,0.3
47,348,0.5579
47,368,0.45647
47,976,1.39476
47,977,1.14117
47,978,2.57819
47,990,0.5
47,1454,0.3
48,348,0.5579
48,368,0.4776
48,976,1.39475
48,977,1.194
48,990,0.5
48,1454,0.3
51,341,1.03128
51,415,2.57819
51,990,0.5
51,1454,0.3
52,245,0.20833
52,348,0.59172
52,368,0.4776
52,990,0.5
52,1454,0.3
54,341,0.25359
54,385,0.03041
54,415,0.63398
54,640,0.15215
54,1467,0.15
55,341,1.07354
55,383,1.34193
55,415,2.68385
55,502468,0.9
56,341,1.01437
56,385,0.15216
56,415,2.53593
56,866,0.15
56,1467,0.15
57,341,0.3973
57,383,0.4966
57,385,0.0596
58,341,0.33812
58,383,0.42265
58,385,0.05072
58,415,0.84531
58,1467,0.15
59,341,0.29586
59,383,0.36982
59,385,0.04438
59,415,0.73964
59,640,0.17752
59,1467,0.15
60,341,0.31699
60,383,0.39624
60,385,0.04755
60,415,0.79248
60,640,0.19019
60,1467,0.15
61,341,1.03128
61,415,2.57819
63,341,1.03128
63,415,2.57819
66,341,0.541
66,385,0.08115
66,415,1.35249
66,1574,0.25
67,341,0.50719
67,385,0.07608
67,415,1.26796
68,341,1.29332
68,385,0.19399
68,415,3.23331
68,428,0.38797
69,341,1.05664
69,415,2.64159
70,341,1.05664
70,415,2.64159
71,341,1.05664
71,389,1.8491
71,415,2.64159
72,341,1.03128
72,415,2.57819
73,341,1.03973
73,415,2.59932
74,341,1.0355
74,415,2.58876
75,341,0.9603
75,415,2.4008
76,341,0.9603
76,415,2.4008
77,341,1.03973
77,415,2.59932
78,341,0.24091
78,385,0.03614
78,415,0.60228
79,341,1.03973
79,415,2.59932
80,341,0.61285
80,385,0.09193
80,415,1.53212
83,370,0.35926
83,988,0.89814
83,989,0.05388
84,370,0.35926
84,988,0.89814
84,989,0.05388
86,370,0.45224
86,988,1.1306
87,370,0.28318
87,988,0.70795
87,989,0.04248
88,90,0.7
88,990,0.5
89,90,1.44
89,990,0.5
89,1611,0.72
90,90,0.09
90,990,0.5
90,1612,0.9
91,90,0.79
91,990,0.5
92,284,1.135
92,341,0.95943
92,385,0.14392
92,415,2.39856
92,966,0.05
92,1573,0.1
93,341,0.42265
93,385,0.05068
93,415,1.0566
93,990,0.5
93,1467,0.15
96,344,0.634
96,415,1.585
96,990,0.5
96,1454,0.3
97,344,0.634
97,415,1.585
97,990,0.5
97,1454,0.3
98,344,0.634
98,415,1.585
98,990,0.5
98,1454,0.3
100,341,0.90871
100,383,1.13588
100,415,2.27177
100,640,0.54523
100,990,0.5
100,1455,1
101,341,1.02705
101,415,2.56763
101,640,0.61623
102,344,0.5579
102,415,1.39476
102,990,0.5
102,1454,0.3
103,348,0.5579
103,368,0.4776
103,990,0.5
103,994,1.39476
103,995,1.194
103,1454,0.3
104,348,0.5579
104,368,0.4776
104,990,0.5
104,994,1.39476
104,995,1.194
104,1454,0.3
105,348,0.5579
105,368,0.4776
105,990,0.5
105,994,1.39476
105,995,1.194
105,1454,0.3
106,348,0.5579
106,368,0.4776
106,990,0.5
106,994,1.39476
106,995,1.194
106,1454,0.3
107,376,0.9552
107,383,1.19399
107,983,2.388
107,1489,1.25
108,344,0.63398
108,990,0.5
108,997,1.58495
108,1454,0.3
109,348,0.5579
109,990,0.5
109,994,1.3975
109,1454,0.3
110,348,0.5579
110,368,0.4776
110,990,0.5
110,994,1.39475
110,995,1.18343
110,1454,0.3
111,348,0.5579
111,368,0.4776
111,990,0.5
111,994,1.39476
111,995,1.194
111,1454,0.3
112,341,1.08199
112,383,1.33136
112,385,0.16229
112,415,2.70499
113,341,1.03128
113,415,2.57819
114,341,1.0355
114,415,2.58876
115,341,0.2894
115,383,0.35926
115,415,0.71851
115,439,0.01447
115,1574,0.25
116,341,1.05664
116,383,1.3208
116,389,1.8491
116,415,2.6416
117,91,0.60862
117,341,1.01437
117,383,1.26796
117,415,2.53593
117,990,0.5
117,1608,0.99
118,284,1.135
118,341,0.95947
118,385,0.14392
118,415,2.39856
118,439,0.0479
118,966,0.05
118,1573,0.1
119,348,0.5579
119,358,1.03128
119,368,0.4776
119,990,0.5
119,994,1.39476
119,995,1.194
119,996,2.57819
119,1454,0.3
120,376,0.9552
120,383,1.19399
120,983,2.388
120,1489,1.25
122,341,0.3973
122,385,0.05959
122,439,0.01987
122,801,0.03
122,1576,0.02
123,341,1.03128
123,415,2.57819
124,341,1.0355
124,415,2.58876
125,142,0.5268
125,341,1.02705
125,383,1.28381
125,415,2.56762
125,556,0.4158
