Components,Unit,Type,0,0.5,1,4,9 m,14 m,19 m,31 m,51 m,70 m,9 f,14 f,19 f,31 f,51 f,70 f,0 p,19 p,31 p,0 l,19 l,31 l
Vitamin A,μg,Min,,,210,275,445,630,625,625,625,625,420,485,500,500,500,500,530,550,550,885,900,900
Vitamin A,μg,Good,400,500,300,400,600,900,900,900,900,900,600,700,700,700,700,700,750,770,770,1200,1300,1300
Vitamin A,μg,Max,600,600,600,900,1700,2800,3000,3000,3000,3000,1700,2800,3000,3000,3000,3000,2800,3000,3000,2800,3000,3000
Vitamin A,IU,Min,,,700,917,1483,2100,2083,2083,2083,2083,1400,1617,1667,1667,1667,1667,1767,1833,1833,2950,3000,3000
Vitamin A,IU,Good,1333,1667,1000,1333,2000,3000,3000,3000,3000,3000,2000,2333,2333,2333,2333,2333,2500,2567,2567,4000,4333,4333
Vitamin A,IU,Max,2000,2000,2000,3000,5667,9333,10000,10000,10000,10000,5667,9333,10000,10000,10000,10000,9333,10000,10000,9333,10000,10000
Vitamin D ,μg,Min,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vitamin D ,μg,Good,10,10,15,15,15,15,15,15,15,20,15,15,15,15,15,20,15,15,15,15,15,15
Vitamin D ,μg,Max,25,38,63,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Vitamin D ,IU,Min,,,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
Vitamin D ,IU,Good,400,400,600,600,600,600,600,600,600,800,600,600,600,600,600,800,600,600,600,600,600,600
Vitamin D ,IU,Max,1000,1500,2500,3000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
Vitamin E,mg,Min,,,5,6,9,12,12,12,12,12,9,12,12,12,12,12,12,12,12,16,16,16
Vitamin E,mg,Good,4,5,6,7,11,15,15,15,15,15,11,15,15,15,15,15,15,15,15,19,19,19
Vitamin E,mg,Max,,,200,300,600,800,1000,1000,1000,1000,600,800,1000,1000,1000,1000,800,1000,1000,800,1000,1000
Vitamin K,μg,Min,2,2.5,30,55,60,75,120,120,120,120,60,75,90,90,90,90,75,90,90,75,90,90
Vitamin K,μg,Max,,,,,,,,,,,,,,,,,,,,,,
Vitamin C,mg,Min,,,13,22,39,63,75,75,75,75,39,56,60,60,60,60,66,70,70,96,100,100
Vitamin C,mg,Good,40,50,15,25,45,75,90,90,90,90,45,65,75,75,75,75,80,85,85,115,120,120
Vitamin C,mg,Max,,,400,650,1200,1800,2000,2000,2000,2000,1200,1800,2000,2000,2000,2000,1800,2000,2000,1800,2000,2000
Thiamin,mg,Min,,,0.4,0.5,0.7,1,1,1,1,1,0.7,0.9,0.9,0.9,0.9,0.9,1.2,1.2,1.2,1.2,1.2,1.2
Thiamin,mg,Good,0.2,0.3,0.5,0.6,0.9,1.2,1.2,1.2,1.2,1.2,0.9,1,1.1,1.1,1.1,1.1,1.4,1.4,1.4,1.4,1.4,1.4
Thiamin,mg,Max,,,,,,,,,,,,,,,,,,,,,,
