FoodID,FoodDescription,FoodDescriptionF,ConversionFactorValue
2,Cheese souffle,Soufflé au fromage,1.0038
4,"Chop suey, with meat, canned","Chop suey, avec viande, conserve",2.3246
5,"Chinese dish, chow mein, chicken","Mets chinois, chow mein, poulet",2.32472
6,Corn fritter,"Maïs, beignet",0.55
7,"Beef pot roast, with browned potatoes, peas and corn","Boeuf braisé, avec pomme de terre au four, pois et maïs",1.4
8,"Fried chicken, mashed potatoes and vegetables",Poulet frit avec pommes de terre en purée et légumes,1.4
9,"Meat loaf with tomato sauce, mashed potatoes and peas","Pain de viande avec sauce aux tomates, pommes de terre en purée et pois",1.95
10,Sliced turkey with mashed potatoes and peas,Dinde tranchée avec pommes de terre en purée et pois,1.4
13,"Vinegar, cider","Vinaigre, cidre",0.05068
14,"Vinegar, distilled (white)","Vinaigre, distillé (blanc)",0.05068
16,"Butter, whipped",Beurre fouetté,0.0319
17,"Butter oil, anhydrous","Huile de beurre, anhydre",0.86649
18,"Cheese, blue",Fromage bleu,0.3
19,"Cheese, brick",Fromage brick,0.3
20,"Cheese, brie",Fromage brie,2.53605
21,"Cheese, camembert",Fromage camembert,0.3
22,"Cheese, caraway",Fromage carvi,0.3
23,"Cheese, cheshire",Fromage cheshire,0.3
24,"Cheese, colby",Fromage colby,0.3
25,"Cheese, cottage, creamed (4.5% M.F.)","Fromage cottage en crème (4,5% M.G.)",1.25
26,"Cheese, cottage, creamed with fruit",Fromage cottage en crème avec fruits,1.25
27,"Cheese, cottage, uncreamed, dry curd (0.4% M.F.)","Fromage cottage sec pressé (0,4% M.G.)",1.25
28,"Cheese, cream",Fromage à la crème,0.29392
29,"Cheese, edam",Fromage edam,0.3
30,"Cheese, fontina",Fromage fontina,0.5579
31,"Cheese, gjetost",Fromage gjetost,0.3
32,"Cheese, gruyere",Fromage gruyère,0.3
33,"Cheese, limburger",Fromage limburger (limbourg),0.3
34,"Cheese, monterey",Fromage monterey,0.3
35,"Cheese, mozzarella, (48% water, 25% M.F.)","Fromage mozzarella (48%d'humidité, 25% M.G.)",0.3
37,"Cheese, muenster",Fromage muenster,0.3
38,"Cheese, neufchatel",Fromage neufchatel,1.0144
39,"Cheese, parmesan, dry grated","Fromage parmesan, râpé",0.15
40,"Cheese, parmesan, hard","Fromage parmesan, pâte dure",0.4227
41,"Cheese, port-salut",Fromage port-salut,0.3
42,"Cheese, provolone",Fromage provolone,0.3
43,"Cheese, ricotta, with whole milk","Fromage ricotta, avec lait entier",2.62059
44,"Cheese, ricotta, with partly skimmed milk","Fromage ricotta, avec lait partiellement écrémé",1.0
45,"Cheese, romano",Fromage romano,0.0634
46,"Cheese, roquefort (blue)",Fromage roquefort (bleu),0.3
47,"Cheese, swiss (emmental)",Fromage suisse (emmental),0.3
48,"Cheese, tilsit, with whole milk","Fromage tilsit, avec lait entier",0.3
51,"Cheese, processed, cheddar, cold pack","Fromage fondu, préparation, cheddar, conditionné à froid",0.3
52,"Cheese, processed food, swiss, loaf","Fromage fondu, préparation, Suisse, pain",0.20833
54,"Cream, whipped, cream topping, pressurized","Crème, garniture fouettée, sous pression (bombe)",0.15215
55,"Eggnog, 7% M.F., Canadian product, 4% to 8% M.F.","Lait de poule, 7% M.G., produit canadien, 4% à 8% M.G.",0.9
56,"Coffee whitener (non dairy), liquid","Colorant à café (non laitier), liquide",0.15
57,"Dessert topping (non dairy), powdered","Garniture à dessert (non laitière), poudre",0.4966
58,"Dessert topping (non dairy), powdered, prepared with whole milk","Garniture à dessert (non laitière), poudre, préparée avec lait entier",0.15
59,"Dessert topping (non dairy), pressurized","Garniture à dessert (non laitière), sous pression (bombe)",0.15
60,"Dessert topping (non dairy), frozen, semisolid","Garniture à dessert (non laitière), congelée, semi-solide",0.15
61,"Milk, fluid, partly skimmed, 2% M.F.","Lait, partiellement écrémé, liquide, 2% M.G.",2.57819
63,"Milk, fluid, partly skimmed, 1% M.F.","Lait, liquide, partiellement écrémé, 1% M.G.",2.57819
66,"Milk, dry whole","Lait, poudre, entier",0.25
67,"Milk, dry, buttermilk, sweet cream","Babeurre, poudre, crème douce",0.07608
68,"Milk, condensed, sweetened, canned","Lait, concentré, sucré, conserve",0.38797
69,"Milk, fluid, chocolate, whole","Lait, liquide, chocolat, entier",2.64159
70,"Milk, fluid, chocolate, partly skimmed, 2% M.F.","Lait, liquide, chocolat, partiellement écrémé, 2% M.G.",2.64159
71,"Hot chocolate, cocoa, homemade, prepared with 2% milk","Chocolat chaud, cacao, fait maison, préparé avec lait 2% m.g.",1.8491
72,"Milk, fluid, goat, enriched, whole","Lait, liquide, chèvre, enrichi, entier",2.57819
73,"Milk, fluid, human (breast milk), mature","Lait, liquide, humain (lait maternel), mature, entier",2.59932
74,"Milk, fluid, sheep, whole","Lait, liquide, brebis, entier",2.58876
75,"Milk shake, chocolate, thick","Lait frappé, chocolat, épais",2.4008
76,"Milk shake, vanilla, thick","Lait frappé, vanille, épais",2.4008
77,"Whey, acid, fluid","Lactoserum, acide, liquide",2.59932
78,"Whey, acid, dry","Lactoserum, acide, poudre",0.03614
79,"Whey, sweet, fluid","Lactoserum, sucré, liquide",2.59932
80,"Whey, sweet, dry","Lactoserum, sucré, poudre",0.09193
83,"Egg, chicken, dried, whole","Oeuf, poule, déshydraté, entier",0.05388
84,"Egg, chicken, dried, whole, stabilized","Oeuf, poule, déshydraté, entier, stabilisé",0.05388
85,"Egg, chicken, white, pan dried, flakes","Oeuf, poule, blanc, séché, flocons",
86,"Egg, chicken, white, dried, powder, glucose reduced","Oeuf, poule, blanc, déshydraté, poudre, réduit en glucose",1.1306
87,"Egg, chicken, yolk, dried","Oeuf, poule, jaune, déshydraté",0.04248
88,"Egg, duck, whole, fresh, raw","Oeuf, canard, entier, frais, cru",0.5
89,"Egg, goose, whole, fresh, raw","Oeuf, oie, entier, frais, cru",0.72
90,"Egg, quail, whole, fresh, raw","Oeuf, caille, entier, frais, cru",0.9
91,"Egg, turkey, whole, fresh, raw","Oeuf, dinde, entier, frais, cru",0.79
92,"Butter, unsalted","Beurre, sans sel",1.135
93,"Cheese, parmesan, shredded","Fromage parmesan, râpé en filaments",1.0566
96,"Cheese, goat, hard, (less than 35% water, 36% M.F.)","Fromage chèvre, dur, (moins de 35% eau, 36% M.G.)",1.585
97,"Cheese, goat, semi-soft, (35% to 55% water, 30% M.F.)","Fromage de chèvre, semi-mou, (35% à 55% eau, 30% M.G.)",1.585
98,"Cheese, goat, soft, (more than 55% water, 21% M.F.)","Fromage de chèvre, mou, (plus de 55% eau, 21% M.G.)",1.585
100,Cheese fondue,Fondue au fromage,0.54523
101,"Cheese sauce, homemade","Fromage, sauce, faite maison",0.61623
102,"Cheese, Mexican, queso anejo","Fromage mexicain, queso anejo",0.3
103,"Cheese, Mexican, queso asadero","Fromage mexicain, queso asadero",0.3
104,"Cheese, Mexican, queso chihuahua","Fromage Mexicain, queso chihuahua",0.3
105,"Cheese, cheddar or colby type, low fat (7% M.F.)","Fromage, type cheddar ou colby, faible en gras (7% M.G.)",0.3
106,"Cheese, cheddar or colby type, low sodium","Fromage, type cheddar ou colby, faible en sodium",0.3
107,"Cheese, cottage, (1% M.F.)","Fromage cottage, (1% M.G.)",1.25
108,"Cheese, feta",Fromage féta,0.3
