NutrientID,NutrientUnit,NutrientName,NutrientNameF,NutrientDecimals
203,g,Total Protein,Protéines,2
204,g,Total Fat,Lipides Totaux,2
205,g,Carbohydrate,Glucides Totaux (Par Différence),2
207,g,"Ash, Total","Cendres, Totales",2
208,kCal,Energy,Énergie (Kilocalories),0
810,g,Starch,Amidon,2
210,g,Sucrose,Sucrose,2
211,g,Glucose,Glucose,2
212,g,Fructose,Fructose,2
213,g,Lactose,Lactose,2
214,g,Maltose,Maltose,2
221,g,Alcohol,Alcool,2
245,mg,Oxalic Acid,Acide Oxalique,0
255,g,Moisture,Eau,2
260,g,Mannitol,Mannitol,2
261,g,Sorbitol,Sorbitol,2
262,mg,Caffeine,Caféine,0
263,mg,Theobromine,Théobromine,0
268,kJ,Energy (Kilojoules),Énergie (Kilojoules),0
269,g,"Sugars, Total",Sucres Totaux,2
287,g,Galactose,Galactose,2
291,g,Total Fibre,Fibres Alimentaires Totales,1
301,mg,Calcium,Calcium,0
303,mg,Iron,Fer,2
304,mg,Magnesium,Magnésium,0
305,mg,Phosphorus,Phosphore,0
306,mg,Potassium,Potassium,0
307,mg,Sodium,Sodium,0
309,mg,Zinc,Zinc,2
312,mg,Copper,Cuivre,3
315,mg,Manganese,Manganèse,3
317,µg,Selenium,Sélénium,1
319,µg,Retinol,Rétinol,0
814,µg,Retinol Activity Equivalents,Équivalents D'Activité Du Rétinol,0
321,µg,Beta Carotene,Béta Carotène,0
834,µg,Alpha Carotene,Alpha-Carotène,0
323,mg,Alpha-Tocopherol,Alpha-Tocophérol,2
324,IU,Vitamin D,Vitamine D (Unites Internationales),0
876,µg,"Vitamin D2, Ergocalciferol","Vitamine D2, (Ergocalciférol)",1
339,µg,Vitamin D (D2 + D3),Vitamine D (D2 + D3),1
835,µg,Beta Cryptoxanthin,Bêta-Cryptozanthine,0
836,µg,Lycopene,Lycopène,0
837,µg,Lutein And Zeaxanthin,Lutéine Et Zéaxanthine,0
811,mg,Beta-Tocopherol,Bêta-Tocophérol,2
812,mg,Gamma-Tocopherol,Gamma-Tocophérol,2
813,mg,Delta-Tocopherol,Delta-Tocophérol,2
401,mg,Vitamin C,Vitamine C,1
404,mg,Thiamin,Thiamine,3
405,mg,Riboflavin,Riboflavine,3
406,mg,Niacin (Nicotinic Acid) Preformed,Niacine (Acide Nicotinique) Préformée,3
409,mg,Niacin,Équivalent En Niacine Totale,3
410,mg,Pantothenic Acid,Acide Pantothénique,3
415,mg,Vitamin B-6,Vitamine B-6,3
416,µg,Biotin,Biotine,0
417,µg,Total Folacin,Folacine Totale,0
