Components,Unit,Type,0,0.5,1,4,9 m,14 m,19 m,31 m,51 m,70 m,9 f,14 f,19 f,31 f,51 f,70 f,0 p,19 p,31 p,0 l,19 l,31 l
Total Carbohydrate,E%,Min,,,45,45,47,48,45,46,47,48,47,47,45,46,47,48,47,45,46,47,45,46
Total Carbohydrate,E%,Max,,,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Total Protein,E%,Min,,,5,10,12,13,10,11,12,13,12,12,10,11,12,13,12,10,11,12,10,11
Total Protein,E%,Max,,,20,30,30,30,35,35,35,35,30,30,35,35,35,35,30,35,35,30,35,35
Total Fat,E%,Min,,,30,25,27,28,20,21,22,23,27,27,20,21,22,23,27,20,21,27,20,21
Total Fat,E%,Max,,,40,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
linoleic acid,E%,Min,,,5,5,7,8,5,6,7,8,7,7,5,6,7,8,7,5,6,7,5,6
linoleic acid,E%,Max,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
α-linolenic acid,E%,Min,,,0.6,0.6,2.6,3.6,0.6,1.6,2.6,3.6,2.6,2.6,0.6,1.6,2.6,3.6,2.6,0.6,1.6,2.6,0.6,1.6
α-linolenic acid,E%,Max,,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
